en	zh
JUNEYAO one zero one two contact DALIAN approach one two one decimal nine	吉祥航空 幺洞幺两 联系大连进近 幺两幺点九
read back PDC back correct back and start up approved	复述 PDC 复述正确 推回和启动获批
one two one nine seven five GOLF ECHO ALPHA er one two five	幺两幺点九拐五 GOLF ECHO ALPHA 幺两五
go	请讲
<ONE-HUNDRED>	<ONE-HUNDRED>
runway track	跑道
<ENGINE>	<ENGINE>
CHINA EASTERN five one two QNH one zero one three	东航 五幺两 QNH 幺洞幺三
<THIRTY>	<THIRTY>
one seven descend two thousand four hundred meters	幺拐 下降 两四洞洞 米
direct to AVBIK then GODOP	直接到 AVBIK 然后 GODOP
VIETJET five four two two	越捷航空 五四两两
<FMA-MODE-TRANSITION>	<FMA-MODE-TRANSITION>
continue approach three six right QNH one zero one three TRANS JADE five one six two	继续接近 跑道 三六 右 QNH 幺洞幺三 TRANS JADE 五幺六两
NAV	导航
land	着陆
one two zero	幺两洞
clear to land three six right AIR MACAU one three eight	跑道 三六 右 清晰着陆 澳门航空 幺三八
AIR SPRING eight eight nine six good day	春秋航空 八八九六 日安
check	检查
AIR JUNEYAO one two one zero tower continue approach runway three six right QNH one zero one	吉祥航空 幺两幺洞 塔台 继续接近 跑道 三六 右 QNH 幺洞幺
check	检查
AIR JUNEYAO one two one seven contact tower one one eight decimal six five good day	吉祥航空 幺两幺拐 联系塔台 幺幺八点六五 日安
one two one nine seven five NEW ZEALAND two eight	幺两幺点九拐五 新西兰 两八
land	着陆
AIR JUNEYAO one two one zero tower continue approach runway three six right QNH one zero one	吉祥航空 幺两幺洞 塔台 继续接近 跑道 三六 右 QNH 幺洞幺
<ENGINE>	<ENGINE>
er PUDONG apron JAPAN AIR eight zero request push and start at gate one eight	浦东机坪 日本航空 八洞 请求推回和启动 停机位 幺八
AIR JUNEYAO one two one two surface wind three five zero degree nine meters per second runway three six right clear to land	吉祥航空 幺两幺两 表面风速 三五洞° 每秒 九 米 跑道 三六 右 清晰着陆
one two six six five JAPAN AIR eight one	幺两幺点六五 日本航空 八幺
VNAV speed	VNAV 速度
contact approach one two one	联系进近 幺两幺
AIR MACAU one two eight turn right A contact er contact ground one two one decimal	澳门航空 幺两八 向右转 A 联系地面 幺两幺点九
NAV	导航
tower AIR JUNEYAO one	塔台 吉祥航空 幺
land	着陆
LUFTHANSA seven two nine now YOU contact apron one two one decimal nine seven five	汉莎航空 拐两九 现在联系 幺两幺点九拐五
AEROFLOT two er AEROFLOT two zero nine apron stand by	俄罗斯航空 两洞九 机坪 待命
standard	标准
check	检查
surface wind three three zero , six meter per second	表面风速 三三洞° 每秒 六 米
apron EVA six seven five stand six one six we are ready	停机坪 EVA 六拐五 停机位 六幺六 我们准备好了
approach one two six six five MIKE SIERRA ZULU good day	进近 幺两六点六五 MIKE SIERRA ZULU 日安
ALT STAR	ALT STAR
one five minutes AIR SPRING eight seven one five	第一 五分钟 春秋航空 八拐幺五
<FIVE>	<FIVE>
EVA seven seven one surface wind three five zero degree one zero meters per second runway three six left clear for take off	EVA 拐拐幺 表面风速 三五洞° 每秒 幺洞 米 跑道 三六 左 清晰起飞
apron good morning CHINA EASTERN five three zero one parking bay two six zero ready	机坪 早上好 东航 五三洞幺 停机位 两六洞 准备好了
CHINA EASTERN five one eight nine continue taxi via D H seven hold short of runway three six left	东航 五幺八九 继续滑行通过 D H 拐 等待跑道 三六 左
zero one one	洞洞幺
go ahead NEW ZEALAND two eight eight	请讲 新西兰 两八八
er standby CHINA EASTERN five one two three	待命 东航 五幺两三
yes runway zero two right	是的 跑道 洞两 右
OK HOTEL four hold short of BRAVO thank YOU sir	好的 HOTEL 四 等待 BRAVO 谢谢您
HAINAN seven two seven two affirm hold short of H four	海南航空 拐两拐两 确认等待 H 四
land	着陆
CHINA EASTERN five four four turn left heading zero two zero	东航 五四四 左转航向 洞两洞
JUNEYAO one zero one two	吉祥航空 幺洞幺两
taxi via DELTA hold short of DELTA one six CHINA EASTERN five one zero seven	滑行通过 DELTA 等待 DELTA 幺六 东航 五幺洞拐
via D H seven hold short of runway	通过 D H 拐 等待跑道
NAV	导航
apron hello KLM eight nine six stand two one fully ready	机坪 你好 荷兰皇家航空 八九六 停机位 两幺 完全准备好
five one zero	五幺洞
roger make A left AIR JUNEYAO one two zero nine	收到 向左转 吉祥航空 幺两洞九
LOC	LOC
<FIVE>	<FIVE>
runway three five	跑道 三五
runway three six right clear to land AIR JUNEYAO one two one two	跑道 三六 右 清晰着陆 吉祥航空 幺两幺两
NAV	导航
standard	标准
FINNAIR eight two HONGQIAO tower BRAVO HOTEL seven hold short runway three six left	芬航 八两 虹桥塔台 BRAVO HOTEL 拐 等待跑道 三六 左
AIR SPRING eight five nine zero cross runway three six right	春秋航空 八五九洞 穿越跑道 三六 右
go ahead	请讲
VIETNAM five three one confirm your tow car	越南航空 五三幺 确认你的拖车准备好了
and wind speed is one six meters say again	风速是每秒 幺六 米 请再说一遍
taxi via DELTA seven YANKEE one follow follow-me parking bay two one three CHINA EASTERN five three zero eight	滑行经过 DELTA 拐 Y幺 跟随引导车 停机位 两幺三 东航 五三洞八
zero six	零六
FINNAIR eight one surface wind zero five zero degree eight meters per second runway three six right clear to land	芬航 八幺 表面风速 五洞° 每秒 八 米 跑道 三六 右 清晰着陆
AIR MACAU one two eight contact SHENYANG one two one decimal nine good day	澳门航空 幺两八 联系沈阳 幺两幺点九 日安
one two six six five JAPAN AIR eight one	幺两幺点六五 日本航空 八幺
continue approach runway three six right QNH one zero one four AIR JUNEYAO one two one two	继续接近 跑道 三六 右 QNH 幺洞幺四 吉祥航空 幺两幺两
AIR SPRING six four five one	春秋航空 六四五幺
wind check	风速检查
JUNEYAO one two one zero via BRAVO ZULU knots hold short DELTA	吉祥航空 幺两幺洞 通过 BRAVO ZULU 等待 DELTA
LUFTHANSA CARGO eight four one one apron standby er at the EAST three zero	汉莎货运 八四幺幺 机坪 待命 在东部 三洞
tower CHINA EASTERN five one six two ILS runway three six right	塔台 东航 五幺六两 ILS 跑道 三六 右
<FIVE>	<FIVE>
check	检查
descend and maintain present heading VIETJET two eight two	下降并保持当前航向 越捷航空 两八两
roger	收到
weather received MIKE PAPA one zero	天气收到了 MIKE PAPA 幺洞
CHINA EASTERN five one six two turn left vacate	东航 五幺六两 左转 滑行
land	着陆
one zero one four continue approach three six right AIR MACAU one three eight	幺洞幺四 继续接近 跑道 三六 右 澳门航空 幺三八
DELTA parking bay four zero seven AIR JUNEYAO one two one two	DELTA 停机位 四洞拐 吉祥航空 幺两幺两
<FIVE>	<FIVE>
<FORTY>	<FORTY>
NAV	导航
NAV	导航
standard	标准
apron AIR SPRING eight seven one five tug ready	机坪 春秋航空 八拐幺五 拖车准备好了
land	着陆
er can YOU accept er departure er have A fuel	你能接受出发吗 需要燃油
runway three six right clear to land AIR JUNEYAO one two one two	跑道 三六 右 清晰着陆 吉祥航空 幺两幺两
AIR JUNEYAO one one zero six surface wind is zero six zero degree one two meters per second QNH one eight runway three six right clear to land	吉祥航空 幺幺洞六 表面风速 六洞° 每秒 幺两 米 QNH 幺八 跑道 三六 右 清晰着陆
check	检查
good	好的
hold short of runway	等待跑道
er no time	没有时间
stand by SHANGHAI AIR eight eight zero five	待命 上海航空 八八洞五
AIR JUNEYAO one one zero six apron DELTA YANKEE one follow follow-me car stand two two one	东航 幺幺洞六 机坪 DELTA Y幺 跟随引导车 停机位 两两幺
DRAGON eight five zero	龙 八五洞
apron CATHAY three six five bay six seven ready	机坪 国泰航空 三六五 停机位 六拐 准备好了
AIR SPRING eight seven one five apron standby er about one five	春秋航空 八拐幺五 机坪 待命 大约 幺五 分钟
tower good evening CHINA EASTERN five three zero eight heavy ILS approach runway three six right	塔台 晚安 东航 五三洞八 重型 ILS 接近 跑道 三六 右
ASIANA three six two five taxi via BRAVO hold short of HOTEL six	亚航 三六两五 通过 BRAVO 等待 HOTEL 六
CHINA EASTERN five three zero eight turn left vacate	东航 五三洞八 左转 滑行
AIR JUNEYAO one two one seven contact tower one one eight decimal six five good day	吉祥航空 幺两幺拐 联系塔台 幺幺八点六五 日安
CHINA EASTERN five three zero eight turn left vacate	东航 五三洞八 左转 滑行
STRAIT AIR six two zero nine H ground taxi via A hold short H four	海峡航空 六两洞九 H 地面 通过 A 等待 H 四
AIR JUNEYAO one zero one zero turn left vacate taxi via BRAVO hold short of HOTEL two	吉祥航空 幺洞幺洞 左转 滑行通过 BRAVO 等待 HOTEL 两
NAV	导航
er PHILIPPINE three three nine contact apron one two one decimal nine seven five	确认 菲律宾航空 三三九 联系机坪 幺两幺点九拐五
AIR JUNEYAO one two one two contact tower one one eight decimal six five good day	吉祥航空 幺两幺两 联系塔台 幺幺八点六五 日安
D H hold short of runway	D H 等待跑道
right turn ALPHA hold short of HOTEL four confirm	右转 ALPHA 等待 HOTEL 四 确认
one two one nine seven five ASIANA three six two	幺两幺点九拐五 亚航 三六两
clear to land three six right AIR MACAU one three eight	跑道 三六 右 清晰着陆 澳门航空 幺三八
one two one decimal two	幺两幺点两
check	检查
<TWO-HUNDRED>	<TWO-HUNDRED>
er in the A tow truck at the EAST contact and then be GREEN to and confirm no time for the next er one five minutes BAUHINIA two three seven	在东部拖车联系 然后确认没有时间 下一个拖车 幺五 分钟 BAUHINIA 两三拐
NAV	导航
<FIVE>	<FIVE>
CHINA EASTERN five three zero eight surface wind three six zero degrees at one zero meters per second runway three six right clear to land	东航 五三洞八 表面风速 三六洞° 每秒 幺洞 米 跑道 三六 右 清晰着陆
one two one nine CHINA EASTERN five one one one	幺两幺点九 东航 五幺幺幺
apron CHINA EASTERN five one zero seven request taxi	机坪 东航 五幺洞拐 请求滑行
AEROFLOT two zero nine go ahead	俄罗斯航空 两洞九 请讲
yeah now number two AUSTRIAN seven six thank YOU	是的 现在是第二个 奥地利航空 拐六 谢谢你
hold short of	等待
report tug ready AIR JUNEYAO one two one one	报告 拖车准备 东航 幺两幺幺
continue approach runway three six right QNH one zero one four AIR JUNEYAO one two one two	继续接近 跑道 三六 右 QNH 幺洞幺四 吉祥航空 幺两幺两
<FIVE>	<FIVE>
JAPAN AIR eight one HANGZHOU tower heavy continue approach runway three six right QNH one zero one one	日本航空 八幺 杭州塔台 重型 继续接近 跑道 三六 右 QNH 幺洞幺幺
NAV	导航
CHINA EASTERN five one six three approaching DELTA one six	东航 五幺六三 接近 DELTA 幺六
apron VIETNAM five two three good evening on gate two one request push and start	机坪 越南航空 五两三 晚安 停机位 两幺 请求推回和启动
left turn vacate runway BRAVO hold short HOTEL two AIR JUNEYAO one two one zero	左转 滑行通过 BRAVO 等待 HOTEL 两 吉祥航空 幺两幺洞
one two one decimal eight five good day	幺两幺点八五 日安
tower good evening CHINA EASTERN five three zero eight heavy ILS approach runway three six right	塔台 晚安 东航 五三洞八 重型 ILS 接近 跑道 三六 右
landing	着陆
er now SHOULD do YOU see the CARGO weather	现在你能看到货运天气吗
landing	着陆
JUNEYAO one zero one two contact DALIAN approach one two one decimal nine	吉祥航空 幺洞幺两 联系大连进近 幺两幺点九
tower AIR JUNEYAO one one zero six taxi BRAVO	吉祥航空 幺幺洞六 塔台 通过 BRAVO 滑行
CHINA EASTERN five three zero eight HANGZHOU tower continue approach runway three six right QNH one zero one three	东航 五三洞八 杭州塔台 继续接近 跑道 三六 右 QNH 幺洞幺三
HAINAN seven six zero six contact ground one two one decimal nine good day	海南 拐六洞六 联系地面 幺两幺点九 日安
one two zero nine what is the sequence	吉祥航空 幺两洞九 这是什么顺序
zero	零
delivery CHINA EASTERN five five one five parking two seven four fully ready	调度 东航 五五幺五 停机位 两拐四 完全准备好了
land	着陆
CHARLIE BRAVO WHISKEY eight five zero one cross runway three six right expedite	CHARLIE BRAVO WHISKEY 八五洞 穿越跑道 三六 右 加速
check	检查
UNITED eight five eight now YOU contact one two one decimal nine seven five	联合航空 八五八 现在你联系 幺两幺点九拐五
CAPITAL JET five one two zero contact apron one two one decimal six seven five	首都航空 五幺两洞 联系地面 幺两幺点六拐五
AIR MACAU one two eight turn right A contact er contact ground one two one decimal	澳门航空 幺两八 向右转 A 联系地面 幺两幺点九
heading	航向
QINGDAO ground good afternoon KOREAN AIR eight six four nine on L zero one hold short of	青岛地面 下午好 韩亚航空 八六四九 在 L 洞幺 等待
seven zero seven two tower B taxi	拐洞拐两 塔台 B 滑行
NAV	导航
left vacate taxi via BRAVO hold short HOTEL two AIR JUNEYAO one two one three	向左转 滑行通过 BRAVO 等待 HOTEL 两 吉祥航空 幺两幺三
<FOUR-HUNDRED>	<FOUR-HUNDRED>
land	着陆
CHINA EASTERN five five one five roger standby	东航 五五幺五 收到 待命
confirm	确认
er ground AIR SPRING eight eight five six ALPHA holding short KILO two	春秋航空 八八五六 ALPHA 等待 KILO 两
<FIVE>	<FIVE>
can YOU say again for UNITED eight five eight	你能再说一遍联合航空 八五八 吗
one two one seven AIR JUNEYAO one eight five five good day	幺两幺拐 吉祥航空 幺八五五 日安
apron hello SILK way zero four seven continue taxi PAPA four hold short LIMA one five	停机坪 您好 SILK WAY 洞四拐 继续滑行 PAPA 四 等待 LIMA 幺五
runway two seven continue approach runway two right	跑道 两拐 继续接近 跑道 两 右
clear to land three six right AIR MACAU one three eight	跑道 三六 右 清晰着陆 澳门航空 幺三八
THAI six six three er YOU are number eight	泰航 六六三 你是第八个
taxi via HOTEL two hold short runway three six left CHINA EASTERN five two zero eight	通过 HOTEL 两 等待跑道 三六 左 东航 五两洞八
check	检查
we can accept departure NEW ZEALAND two eight eight	我们可以接受起飞 新西兰 两八八
QNH one zero one four runway three six right continue approach AIR JUNEYAO one two one zero	QNH 幺洞幺四 跑道 三六 右 继续接近 吉祥航空 幺两幺洞
<FORTY>	<FORTY>
LOC	LOC
CHINA EASTERN two nine one five tower taxi via DELTA HOTEL seven hold short of runway three six left	东航 两九幺五 塔台 通过 DELTA HOTEL 拐 等待跑道 三六 左
land	着陆
CATHAY three six five	国泰航空 三六五
left vacate taxi via BRAVO hold short HOTEL two AIR JUNEYAO one two one three	向左转 滑行通过 BRAVO 等待 HOTEL 两 吉祥航空 幺两幺三
land	着陆
right vacate AIR MACAU one three	向右滑行 澳门航空 幺三
check	检查
er apron er BAUHINIA two three seven any A bay	机坪 BAUHINIA 两三拐 有可用停机位吗
landing	着陆
land	着陆
<ENGINE>	<ENGINE>
zero zero clear to land CHINA EASTERN five one six two	零零 清晰着陆 东航 五幺六两
PUDONG apron good morning CHINA EASTERN five four zero five parking bay one three six ready	浦东机坪 早上好 东航 五四洞五 停机位 幺三六 准备好了
ROMEO FOXTROT ECHO nine seven three two contact apron one two one decimal six seven five	罗密欧 福克特 九拐三两 联系地面 幺两幺点六拐五
CHINA SOUTHERN good day	南方航空 日安
check	检查
four nine	四九
NAV	导航
runway three six right clear to land AIR JUNEYAO one one zero six	跑道 三六 右 清晰着陆 吉祥航空 幺幺洞六
AIR JUNEYAO one one zero six vacate left taxi via BRAVO hold short of HOTEL two	吉祥航空 幺幺洞六 向左转 滑行通过 BRAVO 等待 HOTEL 两
contact approach	联系进近
check	检查
NAV	导航
one two six six five JAPAN AIR eight one	幺两幺点六五 日本航空 八幺
land	着陆
tower good evening CHINA EASTERN five three zero eight heavy ILS approach runway three six right	塔台 晚安 东航 五三洞八 重型 ILS 接近 跑道 三六 右
SINGAPORE eight three three confirm tug is	新加坡航空 八三三 确认拖车准备好了
roger AIR JUNEYAO one one zero six	收到 吉祥航空 幺幺洞六
left vacate taxi via BRAVO hold short HOTEL two AIR JUNEYAO one two one three	向左转 滑行通过 BRAVO 等待 HOTEL 两 吉祥航空 幺两幺三
seven nine eight two surface wind zero four zero degree seven meter per second runway three six left clear for take off	拐九八两 表面风速 洞四洞° 每秒 拐 米 跑道 三六 左 清晰起飞
CHINA EASTERN five one one five taxi via MIKE five hold short DELTA	东航 五幺幺五 滑行经过 MIKE 五 等待 DELTA
AIR JUNEYAO one two one two contact tower one one eight decimal six five good day	吉祥航空 幺两幺两 联系塔台 幺幺八点六五 日安
NAV	导航
check	检查
JAPAN AIR eight report tug	日本航空 八 报告拖车准备
SINGAPORE eight three three we gate six one er ready for start and push	新加坡 八三三 停机位 六幺 准备启动和推回
CHINA EASTERN five three zero eight turn left vacate	东航 五三洞八 左转 滑行
H four hold short of runway CHINA SOUTHERN three two	H 四 等待跑道 南方航空 三两
turn left vacate CHINA EASTERN five three zero eight	左转 滑行 东航 五三洞八
tower evening AIR MACAU one three eight localizer runway three six right	塔台 晚安 澳门航空 幺三八 ILS 跑道 三六 右
INDONESIA eight nine five wait how about now	印尼航空 八九五 等一下 现在怎么样
<FORTY>	<FORTY>
apron SINGAPORE eight three one	机坪 新加坡 八三幺
EVA six seven five contact apron one two one decimal nine seven five	EVA 六拐五 联系机坪 幺两幺点九拐五
NAV	导航
D H hold short of runway	D H 等待跑道
CHINA EASTERN five one zero five	东航 五幺洞五
SPRING eight eight five five contact tower one one	春秋航空 八八五五 联系塔台 幺幺八点六五
apron CHINA EASTERN five five one five parking two seven four tug is ready	机坪 东航 五五幺五 停机位 两拐四 拖车准备好了
one one eight decimal six five good day AIR JUNEYAO one two one zero	幺幺八点六五 日安 吉祥航空 幺两幺洞
copy	收到
<FIFTY>	<FIFTY>
zero four hold short of runway one seven right	洞四 等待跑道 幺拐 右
VIETNAM five two three er stand by about one five	越南航空 五两三 待命 大约 幺五 分钟
KILO LIMA ALPHA zero five zero one	KILO LIMA ALPHA 洞五洞幺
apron CHINA EASTERN five five one five ready for taxi	机坪 东航 五五幺五 准备滑行
CHINA EASTERN five three zero eight turn left vacate	东航 五三洞八 左转 滑行
check	检查
runway three six right clear to land CHINA EASTERN five three seven	跑道 三六 右 清晰着陆 东航 五三拐
LUFTHANSA seven two nine go ahead	汉莎航空 拐两九 请讲
zero six	零六
runway three six right clear to land CHINA EASTERN five three seven	跑道 三六 右 清晰着陆 东航 五三拐
clear to land three six right AIR MACAU one three eight	跑道 三六 右 清晰着陆 澳门航空 幺三八
JUNEYAO one two one one HONGQIAO apron standby about twenty minutes	东航 幺两幺幺 虹桥 机坪待命 大约两洞分钟
minimum	最低
five one zero seven	五幺洞拐
weather received MIKE PAPA one zero	天气收到了 MIKE PAPA 幺洞
clear for take off AIR JUNEYAO one two zero nine	吉祥航空 幺两洞九 清晰起飞
yes runway zero two right	是的 跑道 洞两 右
tower evening AIR MACAU one three eight localizer runway three six right	塔台 晚安 澳门航空 幺三八 ILS 跑道 三六 右
apron 浣犲ソ AEROFLOT two zero nine heavy er stand eight three	机坪 俄罗斯航空 两洞九 重型 停机位 八三
land	着陆
AIR SPRING eight five	春秋航空 八五
apron good evening CHINA EASTERN two four zero six hold short DELTA	机坪 晚安 东航 两四洞六 等待 DELTA
cross runway three six right AIR MACAU one two seven	穿越跑道 三六 右 澳门航空 幺两拐
QNH one zero one three continue approach runway three six right CHINA EASTERN five three zero eight	QNH 幺洞幺三 继续接近 跑道 三六 右 东航 五三洞八
